Time,Temperature,PV1 Voltage[V],PV2 Voltage[V],PV1 Current[A],PV2 Current[A],Total energy[KW.Hr],Total operation hours[Hr],Total AC Power[W],Mode,Daily Energy[KW.Hr],PV1 Input Power[W],PV2 Input Power[W],Heatsink Temperature,Current to grid (R Phase)[A],Grid voltage(R Phase)[V],Grid frequency(R Phase)[Hz],Current to grid (S Phase)[A],Grid voltage(S Phase)[V],Grid frequency(S Phase)[Hz],Current to grid (T Phase)[A],Grid voltage(T Phase)[V],Grid frequency(T Phase)[Hz],Reduced amount of CO2[KG],Reduced amount of SO2[KG],Reduced amount of Oil[KG],Reduced amount of Coal[KG]
2020-11-8 0:3:59,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:8:59,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:13:59,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:18:59,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:23:59,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:28:59,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:34:0,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:39:0,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:44:0,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:49:0,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:54:0,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 0:59:0,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:4:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:9:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:14:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:19:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:24:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:29:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:34:1,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:39:2,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:44:2,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:49:2,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:54:2,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 1:59:2,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:4:2,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:9:3,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:14:3,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:19:3,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:24:3,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:29:3,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
2020-11-8 2:34:3,0,0,0,0,0,1436.5,2398,0,PV power off,0,0,0,0,0,0,0,0,0,0,0,0,0,1432.19,43.095,384.982,574.6
